tic_id,By_User_Ranks_001,By_User_Ranks_002,By_User_Ranks_003-5,By_User_Ranks_006-20,By_User_Ranks_021-50,By_User_Ranks_051-100,By_User_Ranks_101+
23369,False,False,False,False,False,False,True
49779,False,True,False,False,False,False,False
52357,True,True,True,False,True,True,False
72331,False,False,False,True,True,True,False
91961,True,True,False,False,False,False,False
93155,False,False,False,False,True,False,False
111027,False,False,False,True,False,False,False
120016,True,False,True,False,False,True,False
615133,False,False,False,False,True,False,False
627436,True,True,True,True,False,False,True
671564,True,True,False,False,False,False,True
672624,False,False,False,True,False,False,False
710783,False,True,False,False,False,False,False
737546,False,True,True,True,False,True,False
759171,True,True,True,True,False,False,True
800254,True,False,False,False,False,False,False
862763,True,False,False,False,True,True,True
867234,False,False,False,False,False,False,True
878056,False,False,False,False,False,False,True
889317,True,False,False,True,True,True,False
927257,True,False,False,True,False,True,False
927554,True,False,False,False,False,False,False
934557,False,False,False,False,False,False,True
1029392,False,True,False,False,False,False,False
1042868,False,False,False,False,True,False,False
1045298,True,False,False,False,True,True,True
1103432,False,False,True,False,False,False,False
1112513,False,False,False,False,False,False,True
1129033,False,False,False,True,False,True,False
1129452,False,False,False,False,False,False,True
1159914,False,False,False,True,False,False,False
1190662,True,False,False,True,False,False,False
1202347,True,True,True,True,False,True,False
1220444,True,False,True,True,True,True,True
1223040,False,False,False,False,False,True,False
1230647,True,True,False,True,False,True,False
1232360,True,True,False,False,False,False,False
1250913,False,False,False,False,True,True,False
1414238,False,False,False,False,False,False,True
1449640,True,False,False,False,False,False,False
1450518,True,True,True,False,True,False,False
1461316,True,True,False,False,True,False,True
1497180,False,False,False,False,False,True,False
1505227,True,False,False,True,True,False,False
1528696,False,False,False,False,True,False,False
1536984,False,False,True,True,False,True,False
1538794,True,False,False,True,True,False,False
1630438,False,False,False,False,False,True,False
1630690,True,False,False,False,False,True,False
1649643,True,False,False,False,False,False,False
1738861,False,False,False,True,False,False,False
1971918,False,False,False,False,False,False,True
1973623,True,False,False,False,False,False,False
2004993,False,False,False,True,False,False,False
2013258,True,False,True,True,False,False,False
2020964,True,False,True,True,True,True,True
2236015,True,False,False,True,False,False,False
2353789,True,False,True,True,True,True,False
2372579,True,True,False,False,False,False,False
2527981,True,False,True,False,False,False,False
2595273,False,False,False,False,False,True,False
2758565,True,False,False,False,False,False,False
2760219,True,False,False,False,False,False,False
2776520,False,False,False,True,False,False,False
3034524,False,False,False,True,False,True,False
3060481,True,False,False,False,False,False,True
3311888,True,False,False,False,False,False,False
3539074,False,False,False,False,False,False,True
3815360,True,True,True,True,True,True,True
3816260,True,False,False,False,True,True,True
3836983,False,False,False,False,True,False,False
3921749,True,True,False,False,True,True,False
4030617,False,True,False,False,True,False,False
4164713,False,False,True,False,False,False,False
4200337,True,True,False,False,True,True,True
4205427,False,False,False,False,True,False,True
4206238,False,True,False,False,False,False,False
4207747,True,True,True,True,False,True,True
4250265,False,False,False,False,False,False,True
4254645,False,False,True,False,False,False,True
4289780,False,False,True,False,False,False,False
4299830,False,False,False,False,True,False,True
4351705,True,False,False,False,False,False,False
4616072,False,False,True,False,False,True,False
4629065,False,False,True,False,True,False,True
4646803,True,True,False,True,False,True,False
4694452,False,False,False,False,False,False,True
4713510,False,False,False,False,True,False,False
4723156,True,True,True,True,True,True,True
4735737,True,False,False,True,True,False,False
4742129,True,True,True,True,True,True,True
4783276,True,True,False,True,True,False,True
4786828,False,False,False,True,False,False,False
4803974,False,False,False,False,False,False,True
4918918,False,False,False,True,True,False,False
4957914,False,False,False,False,True,False,False
4970499,False,False,False,False,True,False,True
4971740,False,False,False,True,True,False,False
4999380,True,False,False,False,False,False,True
5001059,True,True,True,True,True,True,True
5051080,False,False,False,False,True,True,True
5092088,True,True,True,True,True,True,True
5205367,True,False,False,False,True,False,False
5283033,False,False,False,False,True,False,False
5342415,False,False,False,True,False,False,False
5360702,True,False,False,True,True,False,False
5364106,False,False,False,False,True,False,False
5364915,False,False,True,False,True,False,True
5390942,True,True,False,True,True,True,False
5480687,False,False,False,True,True,False,False
5506314,False,False,False,False,False,False,True
5531391,False,False,False,False,False,False,True
5537671,False,False,False,False,False,False,True
5546608,False,False,False,False,False,False,True
5632933,False,False,False,False,False,False,True
5656273,False,False,False,False,False,True,True
5703872,True,False,False,True,True,True,True
5713097,True,False,False,False,True,False,True
5724891,True,False,True,False,False,False,False
5795305,False,False,False,False,True,True,False
5868998,True,False,False,False,True,False,False
5870394,True,True,False,True,True,False,False
5906850,False,False,False,True,True,False,True
5917423,False,False,False,False,False,False,True
5969274,False,False,False,False,True,False,False
5981829,True,False,False,False,True,False,True
6276559,True,False,False,False,False,False,False
6287502,False,False,False,False,True,False,False
6400274,True,False,True,False,False,False,False
6518047,True,False,False,True,False,True,False
6610653,False,False,False,False,False,True,True
6631253,True,True,False,False,True,False,False
6667908,False,False,False,False,True,False,False
7020254,False,False,True,False,False,False,False
7060775,True,True,True,False,True,True,False
7128700,False,False,True,False,False,False,False
7203983,False,False,False,False,False,True,False
7211118,True,False,True,True,True,True,True
7320873,False,False,False,False,False,False,True
7413227,False,False,False,False,True,True,False
